date,000300.SH,399905.SZ,000906.SH,000016.SH
2011/10/19,2583.081,3854.169,2801.523,1708.946
2011/10/20,2520.532,3740.469,2729.886,1674.027
2011/10/21,2507.877,3671.695,2706.859,1676.097
2011/10/24,2576.669,3736.765,2774.463,1729.033
2011/10/25,2625.425,3842.978,2833.581,1751.677
2011/10/26,2651.652,3884.39,2862.45,1765.63
2011/10/27,2657.478,3888.992,2868.007,1774.506
2011/10/28,2709.017,3978.8,2926.311,1807.056
2011/10/31,2695.307,3999.362,2919.09,1792.051
2011/11/1,2697.534,3999.831,2920.974,1795.392
2011/11/2,2742.39,4072.781,2970.747,1825.453
2011/11/3,2744.301,4097.618,2976.921,1819.042
2011/11/4,2763.746,4131.13,2998.849,1831.755
2011/11/7,2736.248,4114.767,2973.625,1809.798
2011/11/8,2727.71,4057.555,2956.072,1808.609
2011/11/9,2751.654,4126.003,2988.144,1821.756
2011/11/10,2699.588,4064.371,2934.67,1781.911
2011/11/11,2695.002,4062.144,2930.556,1779.514
2011/11/14,2750.195,4159.567,2993.228,1816.057
2011/11/15,2744.68,4192.665,2994.954,1808.176
2011/11/16,2670.116,4088.323,2915.374,1755.415
2011/11/17,2662.017,4079.536,2907.205,1748.447
2011/11/18,2606.495,3963.258,2840.752,1720.764
2011/11/21,2609.687,3966.636,2843.956,1721.386
2011/11/22,2609.475,3957.93,2842.161,1722.234
2011/11/23,2584.011,3942.695,2818.788,1701.065
2011/11/24,2588.915,3935.273,2821.358,1704.691
2011/11/25,2569.973,3911.356,2801.625,1691.671
2011/11/28,2573.321,3915.298,2805.059,1693.668
2011/11/29,2608.569,3980.618,2845.662,1716.095
2011/11/30,2521.52,3819.942,2745.509,1662.748
2011/12/1,2583.613,3897.019,2809.949,1713.048
2011/12/2,2557.311,3817.041,2773.832,1704.457
2011/12/5,2521.385,3692.227,2721.598,1694.496
2011/12/6,2516.341,3691.804,2717.451,1689.01
2011/12/7,2528.228,3702.103,2728.958,1702.454
2011/12/8,2525.001,3700.089,2725.98,1701.68
2011/12/9,2503.461,3663.843,2701.853,1692.061
2011/12/12,2477.692,3616.087,2672.17,1678.698
2011/12/13,2421.928,3490.4,2603.773,1645.815
2011/12/14,2397.48,3423.474,2571.583,1637.009
2011/12/15,2340.788,3329.575,2508.362,1599.012
2011/12/16,2390.129,3427.214,2566.351,1628.999
2011/12/19,2384.408,3434.845,2563.158,1625.257
2011/12/20,2377.073,3424.448,2555.305,1624.445
2011/12/21,2339.108,3342.401,2509.396,1604.251
2011/12/22,2341.335,3298.724,2503.053,1608.238
2011/12/23,2359.159,3327.394,2522.771,1617.944
2011/12/26,2335.702,3308.072,2500.252,1601.467
2011/12/27,2305.035,3224.148,2459.878,1590.995
2011/12/28,2307.928,3207.399,2459.089,1594.835
2011/12/29,2311.361,3207.181,2461.817,1596.587
2011/12/30,2345.742,3266.775,2500.652,1617.613
2012/1/4,2298.753,3192.234,2448.863,1595.12
2012/1/5,2276.385,3074.368,2408.849,1596.593
2012/1/6,2290.601,3087.546,2422.769,1608.358
2012/1/9,2368.57,3212.904,2509.015,1659.054
2012/1/10,2447.349,3345.391,2597.243,1704.744
2012/1/11,2435.608,3346.742,2588.027,1694.264
2012/1/12,2435.219,3345.812,2587.54,1701.452
